MULTICAST -----> udp://@225.1.1.66 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:30:3|STATUS_PLAYING udp://@225.1.1.66:2000
MULTICAST -----> udp://@225.1.1.3 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:30:32|INFORMATION_RECEIVED udp://@225.1.1.3:2000
MULTICAST -----> udp://@225.1.1.3 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:30:32|STATUS_PLAYING udp://@225.1.1.3:2000
MULTICAST -----> udp://@225.1.1.4 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:30:35|INFORMATION_RECEIVED udp://@225.1.1.4:2000
MULTICAST -----> udp://@225.1.1.4 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:30:35|STATUS_PLAYING udp://@225.1.1.4:2000
MULTICAST -----> udp://@225.1.1.4 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:39|INFORMATION_RECEIVED udp://@225.1.1.4:2000
MULTICAST -----> udp://@225.1.1.4 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:40|STATUS_PLAYING udp://@225.1.1.4:2000
MULTICAST -----> udp://@225.1.1.5 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:41|INFORMATION_RECEIVED udp://@225.1.1.5:2000
MULTICAST -----> udp://@225.1.1.5 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:41|STATUS_PLAYING udp://@225.1.1.5:2000
MULTICAST -----> udp://@225.1.1.6 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:43|INFORMATION_RECEIVED udp://@225.1.1.6:2000
MULTICAST -----> udp://@225.1.1.6 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:43|STATUS_PLAYING udp://@225.1.1.6:2000
MULTICAST -----> udp://@225.1.1.7 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:45|INFORMATION_RECEIVED udp://@225.1.1.7:2000
MULTICAST -----> udp://@225.1.1.7 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:45|STATUS_PLAYING udp://@225.1.1.7:2000
MULTICAST -----> udp://@225.1.1.82 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:48|INFORMATION_RECEIVED udp://@225.1.1.82:2000
MULTICAST -----> udp://@225.1.1.82 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:48|STATUS_PLAYING udp://@225.1.1.82:2000
MULTICAST -----> udp://@225.1.1.8 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:50|INFORMATION_RECEIVED udp://@225.1.1.8:2000
MULTICAST -----> udp://@225.1.1.8 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:31:50|STATUS_PLAYING udp://@225.1.1.8:2000
MULTICAST -----> udp://@225.1.1.10 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:26|INFORMATION_RECEIVED udp://@225.1.1.10:2000
MULTICAST -----> udp://@225.1.1.10 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:27|STATUS_PLAYING udp://@225.1.1.10:2000
MULTICAST -----> udp://@225.1.1.11 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:28|INFORMATION_RECEIVED udp://@225.1.1.11:2000
MULTICAST -----> udp://@225.1.1.11 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:28|STATUS_PLAYING udp://@225.1.1.11:2000
MULTICAST -----> udp://@225.1.1.12 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:30|INFORMATION_RECEIVED udp://@225.1.1.12:2000
MULTICAST -----> udp://@225.1.1.12 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:30|STATUS_PLAYING udp://@225.1.1.12:2000
MULTICAST -----> udp://@225.1.1.14 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:44|INFORMATION_RECEIVED udp://@225.1.1.14:2000
MULTICAST -----> udp://@225.1.1.14 | 00:1a:79:6c:cc:3e | 10.30.13.233 | 10/10/2022 15:32:44|STATUS_PLAYING udp://@225.1.1.14:2000
